,industry,percentage,funds_raised,stage,country,laid_off_count,month,day,year
0,2,1.0,197.0,4,59,3,6,23,2023
1,19,0.09,141.0,4,59,3,6,22,2023
2,19,0.265282,300.0,14,59,4,6,21,2023
3,27,0.265282,25200.0,13,59,2,6,21,2023
4,13,0.265282,148.0,4,59,1,6,21,2023
5,9,0.4,134.0,4,7,0,6,21,2023
6,12,0.265282,306.0,12,59,3,6,21,2023
7,27,0.11,16500.0,13,48,4,6,20,2023
8,17,0.265282,157.0,14,34,4,6,20,2023
9,9,1.0,13.0,0,58,3,6,20,2023
10,18,0.2,88.0,0,22,1,6,19,2023
11,10,1.0,2.0,1,59,3,6,19,2023
12,12,1.0,80.0,4,59,1,6,18,2023
13,12,0.8,24.0,2,22,2,6,17,2023
14,27,0.265282,3300.0,13,59,4,6,16,2023
15,27,1.0,4.0,1,58,3,6,16,2023
16,23,0.265282,194.0,14,59,3,6,16,2023
17,12,0.33,51.0,2,59,2,6,15,2023
18,27,0.6,157.0,15,50,1,6,15,2023
19,3,0.265282,157.0,15,59,3,6,15,2023
20,12,0.265282,157.0,14,59,3,6,15,2023
21,5,0.9,17.0,2,22,3,6,15,2023
22,3,1.0,84.0,3,59,4,6,14,2023
23,2,0.07,455.2,13,59,2,6,14,2023
24,27,0.24,340.0,13,59,2,6,14,2023
25,9,0.11,184.0,13,59,1,6,14,2023
26,23,0.265282,111.0,0,22,1,6,14,2023
27,7,0.18,50.0,3,59,3,6,14,2023
28,25,0.265282,119.0,4,59,0,6,13,2023
29,9,0.15,284.0,14,59,4,6,12,2023
30,20,0.12,469.0,7,59,2,6,12,2023
31,5,0.04,227.0,13,59,1,6,12,2023
32,18,1.0,4.0,1,59,3,6,12,2023
33,7,0.15,529.0,8,58,3,6,12,2023
34,3,0.4,253.0,0,59,1,6,11,2023
35,2,1.0,157.0,0,48,3,6,11,2023
36,5,0.35,40.0,3,5,2,6,9,2023
37,12,0.09,1100.0,13,59,1,6,9,2023
38,25,0.1,288.0,6,59,1,6,9,2023
39,7,0.265282,229.0,4,59,2,6,8,2023
40,12,0.12,891.0,5,59,2,6,8,2023
41,24,0.15,644.0,7,59,2,6,8,2023
42,4,0.265282,805.0,6,59,3,6,8,2023
43,26,0.265282,484.0,13,59,3,6,8,2023
44,25,1.0,7.0,1,59,3,6,8,2023
45,5,0.265282,5500.0,12,22,4,6,7,2023
46,7,0.265282,4100.0,13,5,4,6,7,2023
47,4,0.265282,340.0,14,59,1,6,7,2023
48,12,0.265282,324.0,14,59,0,6,7,2023
49,21,0.265282,905.0,0,59,3,6,7,2023
50,13,0.08,349.0,13,59,3,6,7,2023
51,0,0.265282,233.0,5,59,3,6,7,2023
52,16,0.265282,157.0,13,59,2,6,6,2023
53,13,0.12,462.0,13,59,2,6,6,2023
54,2,0.05,1300.0,7,59,1,6,6,2023
55,2,0.27,165.0,0,1,1,6,6,2023
56,25,0.09,364.0,5,59,1,6,6,2023
57,19,0.265282,1300.0,13,59,1,6,6,2023
58,3,0.265282,23.0,1,28,0,6,6,2023
59,12,1.0,157.0,0,59,3,6,6,2023
60,18,0.02,2100.0,13,52,2,6,5,2023
61,7,0.265282,19.0,2,59,0,6,5,2023
62,21,0.265282,310.0,4,59,3,6,5,2023
63,9,0.05,274.0,4,59,3,6,3,2023
64,24,0.03,7.0,13,59,2,6,2,2023
65,19,0.265282,307.0,6,17,1,6,2,2023
66,9,1.0,423.0,0,59,3,6,2,2023
67,7,0.7,157.0,15,59,4,6,1,2023
68,20,0.265282,192.0,4,59,2,6,1,2023
69,12,0.265282,9.0,3,22,2,6,1,2023
70,17,0.1,394.0,13,59,1,6,1,2023
71,15,0.265282,141.0,3,59,3,6,1,2023
72,10,0.1,332.0,4,17,3,6,1,2023
73,19,0.265282,157.0,0,59,3,6,1,2023
74,25,0.05,696.0,13,59,3,6,1,2023
75,7,0.19,161.0,5,59,0,6,1,2023
76,26,0.08,85.0,14,59,4,5,31,2023
77,22,0.2,769.0,13,59,4,5,31,2023
78,19,0.25,216.0,3,59,2,5,31,2023
79,21,0.265282,214.0,0,17,1,5,31,2023
80,13,0.3,173.0,5,59,0,5,31,2023
81,7,0.2,330.0,5,17,2,5,30,2023
82,23,0.265282,254.0,0,22,0,5,30,2023
83,7,0.265282,219.0,14,59,3,5,30,2023
84,3,0.265282,88.0,3,48,3,5,30,2023
85,13,0.265282,109.0,0,59,3,5,30,2023
86,15,0.1,817.0,0,59,2,5,26,2023
87,22,0.1,157.0,13,59,1,5,26,2023
88,12,0.265282,292.0,12,58,2,5,25,2023
89,17,0.3,50.0,3,22,1,5,25,2023
90,9,0.265282,12.0,1,17,0,5,25,2023
91,2,0.12,244.0,14,59,3,5,25,2023
92,5,0.12,643.0,7,59,2,5,24,2023
93,17,0.11,157.0,14,59,2,5,24,2023
94,9,0.16,1000.0,3,17,2,5,24,2023
95,11,0.07,900.0,13,25,1,5,24,2023
96,4,0.07,157.0,15,9,3,5,24,2023
97,5,0.3,148.0,5,41,3,5,24,2023
98,9,0.265282,157.0,15,22,4,5,23,2023
99,11,0.265282,157.0,13,25,0,5,23,2023
100,2,0.08,542.0,0,17,3,5,23,2023
101,7,0.265282,119.0,5,59,3,5,23,2023
102,21,0.265282,30.0,13,59,1,5,22,2023
103,12,1.0,157.0,0,59,3,5,22,2023
104,16,0.265282,30.0,3,59,3,5,22,2023
105,12,0.265282,157.0,14,59,3,5,20,2023
106,7,0.265282,150.0,3,17,0,5,19,2023
107,7,0.14,621.0,5,59,1,5,18,2023
108,24,0.265282,17.0,2,59,3,5,18,2023
109,4,0.15,414.0,5,59,3,5,18,2023
110,19,1.0,15.0,1,25,3,5,18,2023
111,9,0.265282,150.0,4,59,3,5,18,2023
112,27,0.3,648.0,13,59,3,5,18,2023
113,7,0.1,480.0,0,59,0,5,17,2023
114,19,0.4,425.0,12,59,3,5,17,2023
115,12,0.11,157.0,14,59,4,5,16,2023
116,7,0.26,700.0,6,58,4,5,16,2023
117,7,0.03,481.0,13,59,1,5,16,2023
118,15,0.265282,7.0,0,59,3,5,16,2023
119,7,0.85,20.0,2,5,3,5,16,2023
120,9,1.0,30.0,0,59,3,5,13,2023
121,27,0.3,2100.0,5,59,4,5,12,2023
122,27,0.265282,30.0,13,43,2,5,12,2023
123,7,0.35,21.0,14,22,2,5,12,2023
124,23,0.33,157.0,0,59,0,5,12,2023
125,12,0.265282,87.0,4,22,0,5,12,2023
126,14,0.1,298.0,5,59,3,5,12,2023
127,3,1.0,43.0,2,59,3,5,12,2023
128,9,0.11,31.0,14,8,0,5,11,2023
129,7,0.265282,992.0,6,59,1,5,11,2023
130,14,0.08,233.0,13,59,3,5,11,2023
131,19,0.265282,1.0,13,59,2,5,10,2023
132,23,0.23,55.0,13,1,1,5,10,2023
133,19,0.06,235.0,13,59,1,5,10,2023
134,22,0.1,153.0,14,59,1,5,10,2023
135,25,0.03,35.0,13,59,4,5,9,2023
136,25,0.14,154.0,14,59,2,5,9,2023
137,19,0.06,91.0,13,25,1,5,9,2023
138,18,0.265282,32.0,0,59,3,5,9,2023
139,7,0.15,530.0,13,59,3,5,9,2023
140,22,0.04,154.0,14,59,4,5,8,2023
141,5,0.265282,121.0,0,22,2,5,8,2023
142,12,0.6,157.0,5,25,1,5,8,2023
143,7,0.265282,11.0,1,59,0,5,8,2023
144,3,1.0,27.0,0,1,3,5,8,2023
145,12,0.25,503.0,13,59,4,5,5,2023
146,23,0.15,1100.0,7,22,4,5,5,2023
147,5,0.265282,118.0,3,22,1,5,5,2023
148,7,0.33,45.0,3,59,3,5,5,2023
149,23,0.2,122.0,13,7,4,5,4,2023
150,28,0.15,1700.0,13,59,4,5,4,2023
151,17,1.0,157.0,0,59,1,5,4,2023
152,3,0.33,205.0,3,59,0,5,4,2023
153,7,0.1,100.0,0,25,0,5,4,2023
154,23,0.28,34.0,2,25,0,5,4,2023
155,4,0.14,70.0,4,58,3,5,4,2023
156,19,0.08,1300.0,13,59,4,5,3,2023
157,19,0.15,168.0,13,59,2,5,3,2023
158,27,0.265282,1300.0,8,23,2,5,3,2023
159,12,0.33,185.0,5,59,1,5,3,2023
160,19,0.265282,974.0,14,59,0,5,3,2023
161,18,0.13,28.0,4,59,0,5,3,2023
162,17,0.1,145.0,13,59,3,5,3,2023
163,12,0.2,212.0,4,59,3,5,3,2023
164,25,0.13,146.0,3,59,1,5,2,2023
165,27,0.08,105.0,3,1,0,5,2,2023
166,4,1.0,157.0,1,16,3,5,2,2023
167,21,0.265282,114.0,3,59,0,5,1,2023
168,12,0.265282,1600.0,0,22,3,5,1,2023
169,4,0.265282,157.0,0,22,2,4,29,2023
170,12,0.3,899.0,13,59,0,4,28,2023
171,7,0.04,1700.0,6,59,1,4,28,2023
172,12,0.265282,94.0,3,59,0,4,28,2023
173,2,1.0,15.0,2,59,3,4,28,2023
174,9,1.0,157.0,0,1,3,4,28,2023
175,19,0.16,1700.0,13,59,4,4,27,2023
176,4,0.11,613.0,13,59,4,4,27,2023
177,27,0.11,1300.0,13,59,2,4,27,2023
178,22,0.12,110.0,12,59,2,4,27,2023
179,4,0.265282,150.0,3,59,1,4,27,2023
180,10,0.265282,30.0,14,59,1,4,27,2023
181,13,0.16,98.0,13,1,1,4,27,2023
182,23,0.2,26.0,4,1,1,4,27,2023
183,19,0.14,140.0,3,59,1,4,27,2023
184,7,0.29,5.0,1,22,0,4,27,2023
185,2,0.5,110.0,4,59,3,4,27,2023
186,9,0.25,9.0,3,48,3,4,27,2023
187,5,0.265282,157.0,0,22,4,4,26,2023
188,7,0.33,79.0,3,59,0,4,26,2023
189,1,1.0,163.0,3,7,3,4,26,2023
190,5,0.265282,17.0,2,22,4,4,25,2023
191,7,0.5,272.0,5,59,2,4,25,2023
192,9,0.4,1000.0,3,17,4,4,24,2023
193,19,0.04,157.0,14,59,4,4,24,2023
194,13,0.13,337.0,6,59,0,4,24,2023
195,27,0.26,4900.0,13,59,4,4,21,2023
196,19,0.09,411.0,7,59,1,4,21,2023
197,5,0.265282,192.0,14,59,3,4,21,2023
198,18,0.15,696.0,13,59,2,4,20,2023
199,2,0.3,50.0,3,22,1,4,20,2023
200,7,0.265282,190.0,5,22,1,4,20,2023
201,10,0.12,192.0,5,59,0,4,20,2023
202,18,0.1,157.0,0,59,3,4,20,2023
203,11,0.265282,850.0,13,59,3,4,20,2023
204,25,0.09,157.0,13,59,4,4,19,2023
205,19,0.1,307.0,13,59,2,4,19,2023
206,21,0.22,1900.0,13,59,4,4,18,2023
207,23,0.1,157.0,0,45,4,4,18,2023
208,10,0.09,257.0,7,1,1,4,18,2023
209,3,0.09,149.0,3,59,0,4,18,2023
210,9,1.0,3.0,1,1,3,4,18,2023
211,2,0.25,157.0,1,41,2,4,17,2023
212,7,0.15,304.0,5,59,1,4,17,2023
213,5,0.03,389.0,5,7,1,4,17,2023
214,9,0.25,579.0,5,16,0,4,17,2023
215,7,0.265282,42.0,2,22,3,4,17,2023
216,18,0.265282,94.0,4,40,3,4,17,2023
217,25,1.0,157.0,0,25,3,4,16,2023
218,7,0.2,85.0,4,59,1,4,14,2023
219,3,0.17,18.0,2,59,0,4,14,2023
220,12,0.18,127.0,3,59,3,4,14,2023
221,9,0.265282,139.0,4,23,3,4,14,2023
222,25,0.265282,849.0,7,59,2,4,13,2023
223,4,0.4,282.0,4,59,2,4,13,2023
224,18,1.0,157.0,1,22,3,4,13,2023
225,28,1.0,20.0,2,58,3,4,13,2023
226,3,1.0,157.0,0,36,3,4,13,2023
227,24,0.265282,59.0,12,59,3,4,13,2023
228,19,0.04,366.0,13,59,4,4,12,2023
229,12,0.265282,347.0,13,59,2,4,12,2023
230,12,0.265282,5900.0,13,59,1,4,12,2023
231,9,1.0,86.0,2,1,4,4,11,2023
232,21,0.04,320.0,13,59,2,4,11,2023
233,17,0.4,105.0,4,58,1,4,11,2023
234,12,0.25,19.0,0,8,1,4,11,2023
235,17,0.265282,157.0,13,59,3,4,11,2023
236,27,0.1,92.0,4,22,3,4,11,2023
237,5,0.265282,81.0,3,59,3,4,11,2023
238,15,0.08,399.0,5,59,1,4,10,2023
239,6,0.37,13.0,0,59,0,4,10,2023
240,7,0.25,71.0,3,22,2,4,9,2023
241,12,0.265282,222.0,5,22,1,4,8,2023
242,12,0.92,409.0,13,59,2,4,7,2023
243,12,0.265282,138.0,4,59,2,4,7,2023
244,7,0.2,120.0,4,22,2,4,7,2023
245,25,0.05,157.0,13,7,0,4,6,2023
246,27,1.0,157.0,1,17,0,4,6,2023
247,9,0.3,382.0,0,22,4,4,5,2023
248,4,0.13,311.0,13,59,1,4,5,2023
249,23,0.4,157.0,3,22,4,4,4,2023
250,12,0.265282,96.0,14,59,2,4,4,2023
251,23,0.265282,30.0,0,1,0,4,4,2023
252,7,0.2,37.0,3,59,0,4,4,2023
253,23,0.265282,157.0,12,35,3,4,4,2023
254,19,0.2,157.0,14,59,4,4,3,2023
255,19,0.23,2300.0,13,59,2,4,3,2023
256,7,0.11,339.0,6,59,1,4,3,2023
257,22,0.12,42.0,0,59,0,4,3,2023
258,23,0.265282,6200.0,13,59,3,4,3,2023
259,7,0.265282,1800.0,5,58,3,4,3,2023
260,5,0.45,130.0,5,51,1,3,31,2023
261,4,0.265282,181.0,3,59,0,3,31,2023
262,18,0.265282,683.0,14,9,2,3,30,2023
263,18,0.06,208.0,13,59,2,3,30,2023
264,7,0.13,157.0,13,59,2,3,30,2023
265,2,0.75,50.0,3,22,2,3,30,2023
266,7,0.25,24.0,2,59,0,3,30,2023
267,24,0.15,116.0,4,59,0,3,30,2023
268,18,0.265282,2100.0,13,52,0,3,30,2023
269,17,0.17,157.0,0,59,3,3,30,2023
270,22,0.9,157.0,14,48,3,3,30,2023
271,13,0.265282,157.0,13,59,3,3,30,2023
272,15,0.15,157.0,4,32,3,3,30,2023
273,5,0.12,838.0,9,22,3,3,30,2023
274,12,0.265282,5.0,14,59,4,3,29,2023
275,2,0.06,2.0,13,59,4,3,29,2023
276,11,0.265282,157.0,13,59,4,3,29,2023
277,23,0.265282,119.0,14,59,2,3,29,2023
278,12,0.28,59.0,13,59,0,3,29,2023
279,19,0.25,37.0,3,2,3,3,29,2023
280,7,0.265282,9.0,1,36,3,3,29,2023
281,27,0.3,504.0,13,59,3,3,29,2023
282,27,0.18,8300.0,13,59,4,3,28,2023
283,23,0.265282,62.0,14,59,2,3,28,2023
284,27,0.33,314.0,13,59,1,3,28,2023
285,4,0.265282,17.0,14,59,4,3,27,2023
286,12,0.35,143.0,13,59,3,3,27,2023
287,7,0.265282,250.0,0,59,2,3,24,2023
288,2,0.265282,157.0,14,59,3,3,24,2023
289,23,0.265282,300.0,13,16,4,3,23,2023
290,4,0.265282,500.0,14,59,2,3,23,2023
291,23,0.265282,146.0,0,56,1,3,23,2023
292,19,0.25,15.0,2,16,0,3,23,2023
293,10,0.15,5.0,14,59,4,3,22,2023
294,11,0.265282,157.0,13,53,4,3,22,2023
295,10,0.15,204.0,14,59,1,3,22,2023
296,27,0.16,376.0,13,58,0,3,22,2023
297,4,0.265282,80.0,3,7,3,3,22,2023
298,21,0.27,365.0,6,59,3,3,22,2023
299,9,0.265282,157.0,14,58,4,3,21,2023
300,11,0.04,157.0,13,59,4,3,21,2023
301,10,0.1,131.0,0,24,2,3,21,2023
302,7,0.1,331.0,0,7,1,3,21,2023
303,10,0.265282,157.0,2,17,1,3,21,2023
304,9,0.265282,101.0,2,1,0,3,21,2023
305,7,0.04,62.0,4,22,0,3,21,2023
306,28,0.265282,3300.0,13,59,3,3,21,2023
307,2,0.265282,17.0,2,1,3,3,21,2023
308,17,0.265282,145.0,3,59,3,3,21,2023
309,7,0.1,130.0,13,35,3,3,21,2023
310,23,0.265282,108.0,13,59,4,3,20,2023
311,2,0.1,57.0,4,41,3,3,20,2023
312,23,0.02,431.0,7,22,2,3,17,2023
313,19,0.25,148.0,4,7,1,3,17,2023
314,21,0.265282,23.0,0,59,3,3,17,2023
315,26,0.02,484.0,13,59,2,3,16,2023
316,16,0.265282,157.0,13,59,2,3,16,2023
317,8,0.28,157.0,14,2,1,3,16,2023
318,5,0.15,477.0,4,59,1,3,16,2023
319,23,0.21,71.0,13,59,0,3,16,2023
320,10,0.265282,31.0,3,59,3,3,16,2023
321,17,0.265282,778.0,0,59,2,3,15,2023
322,23,0.3,17.0,2,22,1,3,15,2023
323,23,0.25,365.0,13,59,0,3,15,2023
324,7,0.265282,4100.0,13,5,0,3,15,2023
325,7,0.3,24.0,3,35,0,3,15,2023
326,21,0.265282,172.0,0,59,3,3,15,2023
327,2,0.265282,26000.0,13,59,4,3,14,2023
328,23,0.1,581.0,6,59,2,3,14,2023
329,3,0.2,487.0,5,59,1,3,14,2023
330,11,0.14,106.0,4,7,1,3,14,2023
331,11,0.265282,157.0,13,59,0,3,14,2023
332,7,0.3,16.0,2,59,0,3,14,2023
333,27,0.265282,1300.0,13,23,4,3,10,2023
334,2,0.265282,157.0,0,27,1,3,10,2023
335,7,0.15,681.0,13,35,2,3,9,2023
336,9,0.265282,157.0,0,23,2,3,9,2023
337,9,0.02,3400.0,9,59,2,3,9,2023
338,7,0.265282,79.0,14,7,1,3,9,2023
339,18,0.265282,157.0,14,59,0,3,9,2023
340,10,0.265282,31.0,3,59,3,3,9,2023
341,12,0.7,157.0,13,59,3,3,9,2023
342,5,1.0,157.0,2,59,3,3,9,2023
343,18,0.15,117.0,14,7,1,3,8,2023
344,4,0.15,52.0,3,59,3,3,8,2023
345,12,0.15,177.0,6,22,4,3,7,2023
346,8,0.15,619.0,4,59,1,3,7,2023
347,7,1.0,18.0,2,59,3,3,7,2023
348,3,0.25,6.0,0,58,3,3,7,2023
349,2,0.265282,2700.0,13,59,3,3,7,2023
350,23,0.265282,194.0,14,59,3,3,7,2023
351,19,0.05,210.0,13,1,2,3,6,2023
352,18,0.08,525.0,13,59,4,3,6,2023
353,23,0.265282,16.0,3,36,4,3,6,2023
354,10,0.265282,157.0,0,59,4,3,6,2023
355,5,0.265282,631.0,0,22,2,3,6,2023
356,23,0.265282,116.0,6,22,0,3,6,2023
357,23,0.265282,365.0,4,16,3,3,6,2023
358,10,0.265282,157.0,14,41,0,3,4,2023
359,21,0.15,788.0,0,5,4,3,3,2023
360,27,0.7,317.0,13,59,2,3,3,2023
361,21,0.265282,59.0,0,1,2,3,3,2023
362,17,0.265282,152.0,14,59,1,3,3,2023
363,28,0.265282,6400.0,13,59,0,3,3,2023
364,12,0.265282,458.0,13,59,3,3,3,2023
365,19,0.265282,1200.0,7,59,3,3,3,2023
366,25,0.03,148.0,13,59,2,3,2,2023
367,5,0.265282,461.0,6,59,1,3,2,2023
368,9,0.265282,157.0,14,5,1,3,2,2023
369,8,0.11,13.0,2,22,0,3,2,2023
370,18,0.1,20.0,14,59,0,3,2,2023
371,7,0.1,157.0,0,53,3,3,2,2023
372,23,0.265282,12900.0,14,22,3,3,2,2023
373,2,1.0,157.0,14,59,3,3,2,2023
374,21,0.265282,472.0,5,59,1,3,2,2023
375,15,0.265282,157.0,14,59,3,3,2,2023
376,19,0.04,748.0,13,59,4,3,1,2023
377,9,0.06,2100.0,15,5,4,3,1,2023
378,12,0.265282,482.0,6,59,4,3,1,2023
379,27,0.08,5500.0,15,59,2,3,1,2023
380,10,0.2,495.0,6,16,2,3,1,2023
381,26,0.265282,102.0,4,59,2,3,1,2023
382,28,0.14,839.0,13,59,2,3,1,2023
383,3,0.5,70.0,2,59,3,3,1,2023
384,2,0.265282,2.0,13,59,2,2,28,2023
385,2,0.08,557.0,13,59,1,2,28,2023
386,5,1.0,157.0,0,22,3,2,28,2023
387,7,0.09,485.0,13,59,3,2,28,2023
388,27,0.265282,126.0,13,17,4,2,27,2023
389,12,0.15,462.0,4,59,4,2,27,2023
390,7,0.25,283.0,0,59,2,2,27,2023
391,4,0.02,3000.0,13,59,1,2,27,2023
392,24,0.07,489.0,8,59,1,2,27,2023
393,25,0.25,126.0,3,59,0,2,27,2023
394,25,0.265282,401.0,0,25,0,2,26,2023
395,2,0.1,12900.0,13,59,2,2,25,2023
396,19,0.08,663.0,13,52,4,2,24,2023
397,19,0.265282,1300.0,15,22,4,2,24,2023
398,27,0.265282,575.0,14,59,2,2,24,2023
399,26,0.265282,325.0,14,59,1,2,24,2023
400,9,0.265282,465.0,0,59,0,2,24,2023
401,12,0.265282,132.0,13,59,0,2,24,2023
402,7,0.265282,263.0,5,59,0,2,24,2023
403,12,0.18,1900.0,13,59,3,2,24,2023
404,23,0.02,153.0,14,59,3,2,24,2023
405,12,0.1,157.0,14,59,2,2,23,2023
406,17,0.32,442.0,5,17,2,2,23,2023
407,23,0.06,157.0,0,1,1,2,23,2023
408,27,0.265282,400.0,13,59,0,2,23,2023
409,13,0.265282,76.0,3,59,0,2,23,2023
410,3,0.2,607.0,5,59,3,2,23,2023
411,3,0.15,61.0,3,59,3,2,23,2023
412,12,0.13,157.0,0,59,3,2,23,2023
413,18,0.12,157.0,0,58,2,2,22,2023
414,26,0.265282,279.0,13,59,2,2,22,2023
415,12,0.265282,155.0,4,59,3,2,22,2023
416,3,0.11,279.0,4,1,3,2,22,2023
417,12,0.57,194.0,14,59,3,2,22,2023
418,27,1.0,57.0,1,59,3,2,22,2023
419,9,0.7,214.0,4,50,4,2,21,2023
420,3,0.2,451.0,0,22,2,2,21,2023
421,18,0.265282,26.0,0,27,1,2,21,2023
422,7,0.265282,406.0,5,59,1,2,21,2023
423,17,0.04,52.0,3,59,0,2,21,2023
424,27,0.265282,157.0,7,36,0,2,21,2023
425,17,0.265282,61.0,13,16,3,2,21,2023
426,21,0.265282,121.0,4,59,3,2,21,2023
427,23,0.265282,467.0,13,17,3,2,21,2023
428,19,0.3,79.0,3,22,2,2,20,2023
429,3,0.05,1000.0,6,59,0,2,20,2023
430,19,0.28,10.0,1,1,0,2,20,2023
431,9,1.0,9.0,2,59,3,2,20,2023
432,11,0.265282,4200.0,13,25,2,2,19,2023
433,11,0.05,50.0,13,59,4,2,17,2023
434,2,0.265282,12600.0,13,9,4,2,17,2023
435,2,0.265282,290.0,14,59,2,2,17,2023
436,7,0.33,302.0,4,59,2,2,17,2023
437,19,0.265282,105.0,13,59,3,2,17,2023
438,3,0.265282,157.0,0,59,3,2,17,2023
439,24,0.1,536.0,13,59,4,2,16,2023
440,19,0.2,62.0,14,59,4,2,16,2023
441,23,0.07,356.0,13,59,2,2,16,2023
442,19,0.03,152.0,13,59,1,2,16,2023
443,15,0.265282,1100.0,6,59,3,2,16,2023
444,17,0.06,58.0,13,25,4,2,15,2023
445,24,0.08,1100.0,8,59,2,2,15,2023
446,7,0.09,720.0,5,5,2,2,15,2023
447,18,0.265282,22.0,4,16,2,2,15,2023
448,13,0.11,491.0,13,59,2,2,15,2023
449,26,0.04,429.0,13,59,2,2,15,2023
450,7,0.265282,435.0,7,59,0,2,15,2023
451,21,0.265282,180.0,3,59,0,2,15,2023
452,9,0.2,86.0,2,1,3,2,15,2023
453,17,0.14,1100.0,13,59,3,2,15,2023
454,26,0.265282,214.0,4,59,3,2,15,2023
455,18,0.265282,63.0,3,59,3,2,15,2023
456,19,0.15,148.0,4,59,3,2,15,2023
457,12,0.14,185.0,13,59,3,2,15,2023
458,19,0.14,157.0,13,59,4,2,14,2023
459,23,0.31,157.0,14,59,4,2,14,2023
